Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text,Top-Level Comment ID
UgwVI3PqukCMF-iuAWZ4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-10-19T11:25:41.337137+00:00,0,,,ogsR8mwlnJ4,"{""text"":""Kwa status ni only 60uc 😂😂 lakini kwa ground mambo ni different""}",
Ugy-7qB5BY3cRTY4Ibx4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-07-13T00:35:27.877323+00:00,0,,,2fjCjJB9-Eo,"{""text"":""👍🏾👍🏾""}",
Ugx9QIMn9tZg67Qe2E54AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-07-11T12:23:25.419178+00:00,0,,,TB3v_l6o84w,"{""text"":""😅😅""}",
UgxGFrVXuLwjfaDnyZ54AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-06-28T14:26:34.025192+00:00,0,,,HyrMpd2a3jE,"{""text"":""🤣🤣""}",
UgzxSBzSqwDwV5y8EWR4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-06-27T12:37:14.343986+00:00,0,,,r8fS3lWWNng,"{""text"":""Jesko😍""}",
UgyGcI4k1Ro_0OREOt54AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-04-22T17:52:05.964342+00:00,0,,,9X1Z2Hy_UKQ,"{""text"":""👌👌""}",
UgwnjJk1pF8s0efAFM14AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-04-14T15:25:34.489771+00:00,0,,,Eh6yiUxBBYo,"{""text"":""Ofcourse you f*""},{""text"":""**""},{""text"":"" up😂😂😂""}",
UgxU07hYDLgCqaeoLLF4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-04-12T17:15:35.409705+00:00,0,,,5VEGIN3oZkY,"{""text"":""😔😔🥺""}",
UgxLqQZmWLWSHOu8T594AaABAg.9_gkyPIbE0E9_i8QwZ5Ro-,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-04-12T08:27:33.191571+00:00,0,UgxLqQZmWLWSHOu8T594AaABAg.9_gkyPIbE0E9_i48BObe1C,,MsFFb9sMWuc,"{""text"":""@彡254彡『ʟT』"",""mention"":{""externalChannelId"":""UCSG-aAh1e4RpIgq8pwIWFPw""}},{""text"":"" niko kila mahali 😂😂""}",UgxLqQZmWLWSHOu8T594AaABAg
UgxLqQZmWLWSHOu8T594AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-04-11T19:34:34.023726+00:00,0,,,MsFFb9sMWuc,"{""text"":""Jujamaican accent😂😂""}",
UgxlmMFsjYxF66iHCid4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-04-11T19:22:48.312081+00:00,0,,,eugGn7KPd0w,"{""text"":""👍 nice...""}",
UgxEtQGbAuvutWT1PaB4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-03-19T00:23:52.345786+00:00,0,,,IRUM9C4yWZI,"{""text"":""Ngori 😱""}",
UgwopgpMVtlHaHZ7mFZ4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-03-11T13:21:11.185241+00:00,0,,,T4cyKRSvOfE,"{""text"":""Bango🤣🤣🤣""}",
UgwacZWAiFqsFjB2_dd4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-03-05T14:26:41.113126+00:00,0,,,YR-BmjVPCtQ,"{""text"":""🤣🤣🤣twende lobby""}",
Ugz1TzX4TvRCK8csFXx4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-12-28T18:38:46.439239+00:00,0,,Ugkx9LD0PrIjXXaPHL86KeFtWlPjrqLAULpj,,"{""text"":""Kenya🇰🇪""}",
UgwaqzZm6UM1iEKCTiB4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-12-04T05:16:29.293553+00:00,0,,,nkCeJJ5-QYE,"{""text"":""Nice work guys . Mental health is really important in our society.""}",
Ugz4IYF5CQtlytazs1V4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-08-13T16:01:00.508194+00:00,0,,,vEhW8uLn93k,"{""text"":""🤣🤣🤣🤣bazuu""}",
UgzASj2DhCwHSYwfmVt4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-08-09T17:19:06.231713+00:00,0,,,SwrHjAuNuDI,"{""text"":""Amechoma bana😂😂😂""}",
UgwDOLVW8_z0ZntA5NJ4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-07-13T17:59:28.009103+00:00,0,,,RzN1o27oFE8,"{""text"":""Morio wa mask😁😂""}",
Ugw6GzlVRAhQq6p_Z2t4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-07-11T19:11:28.251906+00:00,0,,,Ffh_zDEoQZA,"{""text"":""😂😂""}",
Ugy7QwOg2Hb2SnmC4kd4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-06-16T04:02:40.639471+00:00,0,,, -gHOEqc7_38,"{""text"":""Kimeumana 🤣🤣🤣""}",
UgxLZqjdha1uQlZDxHh4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-06-12T19:27:41.76328+00:00,0,,,m35i-dYoffQ,"{""text"":""🤣🤣kali bro""}",
UgwQepAA1xvjUQ008wF4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-05-28T04:53:11.762245+00:00,0,,,RYDogDVt3bI,"{""text"":""Kali bro🤣🤣🔥🔥""}",
UgzT9HJLDRdL516oOOZ4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-03-04T10:59:23.988106+00:00,0,,,RqmPRs4q0b0,"{""text"":""🤣🤣🤣""}",
UgwpqMlxRJIS-I2roPx4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-02-13T19:56:27.247491+00:00,0,,,JHOUc1DKasc,"{""text"":""🤣🤣🤣🤣... 👌💯""}",
UgzO7aRObYYA196pRoR4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-02-03T10:41:52.631562+00:00,0,,,Viy3QPl95Vw,"{""text"":""😂😂😂 weeh🤣""}",
UgwDy_GXtGULXQe_zod4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-01-26T13:55:10.746982+00:00,0,,,qCWxCcO-iRM,"{""text"":""😂😂""}",
UgzWtLqva81vcPCcM9R4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2021-01-24T08:27:02.538408+00:00,0,,,9WZBHaKwJ2w,"{""text"":""It's lit😂😂""}",
UgzcmjnqctHZUN359fd4AaABAg,UCwm-CZ1MhpOutiaC5jJ2adQ,2020-12-02T10:31:33.287595+00:00,0,,,Z0i6dp7bbtA,"{""text"":""Its lit👍... Keep it up""}",





