Live Chat ID,Channel ID,Live Chat Create Timestamp,Price,Video ID,Live Chat Text
UgxojnnPvhu1A0fR10B4AaABDqgBtcnbhgI,UCwm-CZ1MhpOutiaC5jJ2adQ,2023-01-02T15:31:11.501292+00:00,0,UlgJr8OMkPY,"{""text"":""fiti bro""}"
UgyaI08yt0c1glkaSw14AaABDqgB69n6mAI,UCwm-CZ1MhpOutiaC5jJ2adQ,2023-01-02T15:30:05.779943+00:00,0,UlgJr8OMkPY,"{""text"":""hello👋🏽""}"
UgxZJgj1pTj0zNfpXf54AaABDqgBgpHMmwI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-11-26T15:27:29.69021+00:00,0,_LmsnfjuJxw,"{""text"":""fiti bro""}"
UgxLVNrd0gqa3UBhAap4AaABDqgByYTulQI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-11-26T15:26:28.334266+00:00,0,_LmsnfjuJxw,"{""text"":""hello 👋""}"
Ugy4NAn1fZI6tAM3FX14AaABDqgB0vOllQI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-11-17T16:11:48.100953+00:00,0,y5Dsjm7oW7A,"{""text"":""freshi bro""}"
UgwZB6Q7xwkOiXL283N4AaABDqgB4_WGhgI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-11-17T16:09:28.506715+00:00,0,y5Dsjm7oW7A,"{""text"":"""",""emoji"":{""customEmojiUrl"":""https://yt3.googleusercontent.com/KC1AADUNDBoSP4si6Ewmh2eNSUqj9lStUxtyT7d4cxsqtG-G7jPEcjftTOzbiQqe_s10dyC4k48""}}"
Ugx73Lhydc68VQaQC-N4AaABDqgBnoSWiwI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-11-16T15:52:58.259049+00:00,0,nIDD88vTXE0,"{""text"":""freshi bro""}"
UgzMBddpUIEi3a_KLMN4AaABDqgBsPOdmgI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-11-16T15:51:29.511269+00:00,0,nIDD88vTXE0,"{""text"":""hello 👋""}"
UgwB-H8gl_YXwh2MGax4AaABDqgBqtTmnAI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-11-11T15:36:27.016272+00:00,0,q22RgOZQp-I,"{""text"":""poapoa bro""}"
Ugwu7ndXF-8V2fCNe_p4AaABDqgB5YLynQI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-11-11T15:35:09.742702+00:00,0,q22RgOZQp-I,"{""text"":""🖐️""}"
Ugz55uW8liU1lIdGfz54AaABDqgB2I-XjwI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-11-07T15:55:50.075505+00:00,0,fVWP9pn_kNc,"{""text"":""our favorite YouTuber 😂""}"
Ugw2L_uqFgUn05VHBod4AaABDqgBhu3cmQI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-11-03T20:39:11.376468+00:00,0,5PQnnjg_DLg,"{""text"":""kisha hizo gloves ni how much""}"
UgxEZ_8sxk-iut6oPdh4AaABDqgBjsj_ggI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-11-03T20:38:08.886517+00:00,0,5PQnnjg_DLg,"{""text"":""umepata magic spot pa kukaa😂😂😂""}"
UgwRGGHeucigqXUbvyx4AaABDqgBi8SZkQI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-10-29T19:12:50.482459+00:00,0,gC2Yuz-6hYk,"{""text"":"""",""emoji"":{""customEmojiUrl"":""https://yt3.googleusercontent.com/2ZL8oeQsThfXajdh3TUd36lfLZb-EoausaFKON2nLvsG-MKg_Puh2l3brQyrjhGpuyAML6Fw""}}"
